OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
195,13-073752,20130405,BLACKWELL DR @ MONTEAGLE CRES,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
196,13-037456,20130215,WESTHEIGHTS DR @ DRIFTWOOD DR,03-At intersection,01-Within intersection,01-Clear,"06-Dusk, artificial",INTERSECTION,
197,13-030097,20130207,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
198,13-041283,20130221,QUEEN ST S @ HALLS LANE W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
199,13-031827,20130204,KING ST W @ YOUNG ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
200,13-006801,20130109,GLASGOW ST @ BELMONT AVE W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
201,13-030701,20130208,KING ST W @ ONTARIO ST S / ONTARIO ST N,04-At/near private drive,11-Not on roadway - right side,,,INTERSECTION,
202,13-033539,20130211,WESTHEIGHTS DR @ BLACKWELL DR,02-Intersection related,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
203,13-021582,20130127,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
204,13-005930,20130108,QUEEN ST S @ CHURCH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
205,13-036454,20130215,WESTHEIGHTS DR @ MCGARRY DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
206,13-062584,20130319,KINZIE AVE @ RIVER RD E,03-At intersection,02-Thru lane,04-Freezing Rain,"08-Dark, artificial",INTERSECTION,
207,13-062948,20130319,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
208,13-178971,20130802,YOUNG ST @ DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
209,13-181760,20130806,OTTAWA ST S @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
210,13-181854,20130613,RIVER RD E @ FREDERICK ST,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
211,13-199434,20130827,DUKE ST W @ BREITHAUPT ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
212,13-169804,20130718,RITTENHOUSE RD @ TUERR DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
213,13-188524,20130814,BLACKHORNE DR @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
214,13-007290,20130110,STIRLING AVE S @ HIGHLAND RD E,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
215,13-144179,20130624,GUELPH ST @ MARGARET AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
216,13-093709,20130427,WILSON AVE @ TRAYNOR AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
217,13-125975,20130603,STIRLING AVE S @ PLEASANT AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
218,13-138694,20130618,ZELLER DR @ SUSAN CRES / JANET CRT,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
219,13-071374,20130331,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
220,13-091811,20130425,CONNAUGHT ST @ EIGHTH AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
221,13-092862,20130426,AHRENS ST W @ WELLINGTON ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
222,13-148456,20130628,PARK ST @ CHERRY ST,06-Underpass or tunnel,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
223,13-114611,20130521,CEDAR ST N @ KING ST E / CEDAR ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
224,13-096317,20130430,BELMONT AVE W @ GAGE AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
225,13-058665,20130315,KING ST W @ YOUNG ST,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
226,13-115262,20130521,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
227,13-189923,20130815,QUEENS BLVD @ HIGHLAND RD W / HIGHLAND RD E / QUEEN ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
228,13-114557,20130521,RIVER RD E @ KRUG ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
229,13-114433,20130521,BLOCK LINE RD @ KINGSWOOD DR,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
230,13-097546,20130501,RIVER RD E @ LORRAINE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
231,13-035924,20130214,DRIFTWOOD DR @ HIGHVIEW DR,03-At intersection,01-Within intersection,03-Snow,07-Dark,INTERSECTION,
232,13-035644,20130214,FIRST AVE @ ECKERT ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
233,13-042996,20130221,ST CLAIR AVE @ STIRLING AVE S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
234,13-002147,20130103,ARDELT AVE @ HANSON AVE,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
235,13-005652,20130108,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
236,12-091222,20120420,RIVER RD E @ HICKSON DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
237,12-191174,20120812,WABANAKI DR @ WILSON AVE,02-Intersection related,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
238,12-161844,20120711,ARDELT AVE @ HANSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
239,12-167455,20120718,KING ST E @ QUEEN ST N,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
240,12-178339,20120730,SCOTT ST @ DUKE ST E,02-Intersection related,10-Not on roadway - left side,01-Clear,07-Dark,INTERSECTION,
241,12-205172,20120831,WESTHEIGHTS DR @ WINDING WAY,02-Intersection related,07-Passing lane,01-Clear,01-Daylight,INTERSECTION,
242,12-135980,20120611,STOKE DR @ LENNOX CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
243,12-241749,20121012,CEDAR ST N @ DUKE ST E,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
244,12-228815,20120927,KING ST W @ YOUNG ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
245,12-216329,20120913,AHRENS ST W @ WELLINGTON ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
246,12-216484,20120913,CEDAR ST N @ DUKE ST E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
247,12-216436,20120913,GUELPH ST @ ST LEGER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
248,12-039286,20120217,EBY ST S @ EBY ST N / KING ST E,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
249,12-041630,20120221,KING ST E @ SCOTT ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
250,12-023696,20120130,PIONEER DR @ DOON VILLAGE RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
251,12-018682,20120124,GLASGOW ST @ PARK ST,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
252,12-240783,20121011,SEABROOK DR @ WOODBINE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
253,12-187153,20120809,MAX BECKER DR @ HELENA FEASBY ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
254,12-155461,20120704,AHRENS ST W @ BREITHAUPT ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
255,12-184482,20120807,SYDNEY ST S @ MILL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
256,12-228691,20120927,DRIFTWOOD DR @ HIGHVIEW DR,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
257,12-291041,20121214,WILSON AVE @ KINGSWAY DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
258,12-115125,20120518,KING ST W @ GAUKEL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
259,12-132027,20120607,KING ST W @ WATER ST N / WATER ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
260,12-123763,20120528,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
261,12-125091,20120529,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
262,12-241992,20121010,EBY ST S @ EBY ST N / KING ST E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
263,12-239076,20121009,GLASGOW ST @ PARK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
264,12-234173,20121003,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
265,12-162089,20120712,ACTIVA AVE @ COPPER LEAF ST,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
266,12-021220,20120127,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
267,12-066248,20120321,BELMONT AVE W @ HIGHLAND RD W,04-At/near private drive,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
268,12-073173,20120329,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,03-At intersection,01-Within intersection,01-Clear,"06-Dusk, artificial",INTERSECTION,
269,12-018014,20120123,CHARLES ST E @ PANDORA AVE S,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,INTERSECTION,
270,12-290426,20121213,WESTHEIGHTS DR @ MCGARRY DR,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
271,12-288697,20121211,WAVERLY RD @ GAGE AVE,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
272,12-283586,20121204,WINDOM RD @ THALER AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
273,12-083770,20120411,BLOCK LINE RD @ STRASBURG RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
274,12-085454,20120413,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
275,12-073230,20120329,RIVER RD E @ LORRAINE AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
276,12-092318,20120420,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
277,12-172927,20120724,WILSON AVE @ KINGSWAY DR,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
278,12-173745,20120725,WILSON AVE @ TRAYNOR AVE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
279,12-163450,20120712,CHARLES ST E @ SYDNEY ST S,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
280,12-010401,20120114,OPRINGTON DR @ BENESFORT DR,04-At/near private drive,10-Not on roadway - left side,03-Snow,07-Dark,INTERSECTION,
281,12-024537,20120130,STIRLING AVE S @ HIGHLAND RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
282,12-208512,20120904,SPORTSWORLD DR @ GATEWAY PARK DR / HELDMANN RD,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
283,12-107239,20120509,WAVERLY RD @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
284,12-207327,20120902,BELMONT AVE W @ GAGE AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
285,12-061191,20120316,HIGHLAND RD E @ MAUSSER AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
286,12-171910,20120723,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
287,12-231207,20120929,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,02-Rain,"06-Dusk, artificial",INTERSECTION,
288,12-217459,20120914,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
289,12-243903,20121014,DOON VILLAGE RD @ BECHTEL DR,01-Non intersection,11-Not on roadway - right side,02-Rain,01-Daylight,INTERSECTION,
290,12-235068,20121003,WILSON AVE @ FAIRWAY RD S,04-At/near private drive,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
291,12-292902,20121215,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
292,12-228920,20120927,HOMER WATSON BLVD @ HOFFMAN ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
293,12-224617,20120922,BLOCK LINE RD @ STRASBURG RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
294,12-263066,20121107,QUEEN ST N @ DUKE ST E / DUKE ST W,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
295,12-288716,20121211,MARGARET AVE @ UNION ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
296,12-066645,20120322,STIRLING AVE N @ EAST AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
297,12-006537,20120109,BELMONT AVE W @ KARN ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
298,12-007838,20120111,CHERRY ST @ STRANGE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
299,12-185317,20120808,HERITAGE DR @ LORRAINE AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
300,12-205261,20120831,QUEENS BLVD @ HIGHLAND RD W / HIGHLAND RD E / QUEEN ST S,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
301,12-201389,20120825,RIVER RD E @ OLD CHICOPEE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
302,12-260587,20121104,SHANLEY ST @ WATERLOO ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
303,12-229851,20120928,BRUNSWICK AVE @ GUELPH ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
304,12-208587,20120904,KING ST W @ FRANCIS ST S / FRANCIS ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
305,12-215021,20120910,HIGHLAND RD E @ SPADINA RD E,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
306,12-257518,20121031,GLASGOW ST @ BELMONT AVE W,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
307,12-246734,20121017,RIVER RD E @ OLD CHICOPEE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
308,12-029490,20120206,QUEEN ST N @ DUKE ST E / DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
309,12-059732,20120314,SPORTSWORLD DR @ GATEWAY PARK DR / HELDMANN RD,04-At/near private drive,06-Two-way left turn lane,01-Clear,01-Daylight,INTERSECTION,
310,12-262891,20121105,WILSON AVE @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
311,12-222706,20120913,KINGSWOOD DR @ STRASBURG RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
312,12-285865,20121207,SEABROOK DR @ WOODBINE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
313,12-137378,20120612,WATERLOO ST @ GUELPH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
314,12-274837,20121122,BELMONT AVE W @ GAGE AVE,01-Non intersection,02-Thru lane,04-Freezing Rain,"08-Dark, artificial",INTERSECTION,
315,12-275979,20121124,BIEHN DR @ CARYNDALE DR,02-Intersection related,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
316,12-257673,20121031,KINZIE AVE @ THALER AVE,03-At intersection,01-Within intersection,02-Rain,"02-Daylight, artificial",INTERSECTION,
317,12-257573,20121031,COPPER LEAF ST @ MAX BECKER DR,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
318,12-086856,20120415,STIRLING AVE S @ MILL ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
319,12-078810,20120405,KING ST W @ COLLEGE ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
320,12-077691,20120403,RIVER RD E @ FREDERICK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
321,12-268617,20121113,GLASGOW ST @ PARK ST,03-At intersection,01-Within intersection,01-Clear,05-Dusk,INTERSECTION,
322,12-226140,20120924,WILHELM ST @ AHRENS ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
323,12-147167,20120624,KING ST E @ QUEEN ST N,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
324,12-155549,20120704,KING ST E @ SCOTT ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
325,12-165269,20120715,DUKE ST W @ COLLEGE ST,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
326,12-222822,20120920,KING ST W @ GAUKEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
327,12-184544,20120807,MANCHESTER RD @ RIVER RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
328,12-267455,20121113,HEIMAN ST @ HIGHLAND RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
329,12-267734,20121113,UNION BLVD @ PARK ST,03-At intersection,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
330,12-285845,20121207,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
331,12-170006,20120721,SYDNEY ST S @ BEDFORD RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
332,12-125020,20120529,MILL ST @ OTTAWA ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
333,12-201619,20120827,DONNENWERTH DR @ ACTIVA AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
334,12-155941,20120704,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
335,12-217242,20120914,QUEEN ST S @ JOSEPH ST,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
336,12-216383,20120913,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
337,12-184927,20120808,LANCASTER ST E @ IRVIN ST / BRUBACHER ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
338,12-181240,20120802,RIVER RD E @ FREDERICK ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
339,12-221973,20120919,OTTAWA ST N @ KING ST E / OTTAWA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
340,12-221873,20120919,OTTAWA ST N @ KING ST E / OTTAWA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
341,12-232758,20120928,QUEENS BLVD @ HIGHLAND RD W / HIGHLAND RD E / QUEEN ST S,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
342,12-208583,20120904,SHELDON AVE S @ CHARLES ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
343,12-243646,20121014,PIONEER DR @ BECHTEL DR,04-At/near private drive,11-Not on roadway - right side,,07-Dark,INTERSECTION,
344,12-171982,20120722,TRAYNOR AVE @ BELWOOD CRES,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
345,12-015075,20120119,AHRENS ST W @ BREITHAUPT ST,05-At railway crossing,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
346,12-081879,20120409,BELMONT AVE W @ GAGE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
347,12-296710,20121221,BELMONT AVE W @ ADELAIDE ST,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
348,12-294585,20121218,WILSON AVE @ FAIRWAY RD S,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
349,12-277248,20121125,RIVER RD E @ LORRAINE AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
350,12-223062,20120920,AHRENS ST W @ WELLINGTON ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
351,12-136542,20120611,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
352,12-270677,20121117,PROSPECT AVE @ WILFRED AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
353,12-269683,20121116,FEATHERSTONE CRES @ FEATHERSTONE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
354,12-081906,20120407,TU LANE ST @ KING ST E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
